ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER, SALES ,ORDERDATE,DAYS_SINCE_LAST_ORDER,STATUS,PRODUCTLINE,MSRP,SPV,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10409,6,130.94,2, 785.64 ,23/02/2024,43,Shipped,Vintage Cars,127.00,3.94,S18_2325,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small
10407,6,90.19,3, 541.14 ,22/02/2024,44,On Hold,Vintage Cars,92.00,-1.81,S18_4409,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
10423,10,88.14,1, 881.40 ,30/03/2024,7,In Process,Vintage Cars,101.00,-12.86,S18_2949,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Small
10107,10,109.22,11," 1,092.20 ",17/03/2024,20,Shipped,Classic Cars,117.00,-7.78,S12_3380,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small
10425,11,43.83,6, 482.13 ,31/03/2024,6,In Process,Trucks and Buses,54.00,-10.17,S32_2509,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10401,11,103.21,8," 1,135.31 ",03/02/2024,63,On Hold,Planes,91.00,12.21,S700_1691,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Small
10107,12,163.44,13," 1,961.28 ",17/03/2024,20,Shipped,Classic Cars,194.00,-30.56,S12_1099,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small
10407,13,81.33,7," 1,057.29 ",22/02/2024,44,On Hold,Classic Cars,85.00,-3.67,S24_3191,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
10420,15,43.49,3, 652.35 ,29/03/2024,8,In Process,Vintage Cars,41.00,2.49,S24_3969,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10419,15,42.67,7, 640.05 ,17/03/2024,20,Shipped,Classic Cars,37.00,5.67,S24_2972,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small
10416,15,98.84,4," 1,482.60 ",10/03/2024,27,Shipped,Planes,84.00,14.84,S18_2581,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
10408,15,36.93,1, 553.95 ,22/02/2024,44,Shipped,Vintage Cars,41.00,-4.07,S24_3969,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small
10414,16,75.48,11," 1,207.68 ",06/03/2024,31,On Hold,Vintage Cars,87.00,-11.52,S18_4522,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10425,18,105.33,2," 1,895.94 ",31/03/2024,6,In Process,Trucks and Buses,115.00,-9.67,S50_1392,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10416,18,75.06,13," 1,351.08 ",10/03/2024,27,Shipped,Planes,68.00,7.06,S24_3949,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
10415,18,69.70,2," 1,254.60 ",09/03/2024,28,Disputed,Vintage Cars,65.00,4.70,S24_3420,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small
10425,19,49.22,10, 935.18 ,31/03/2024,6,In Process,Trucks and Buses,60.00,-10.78,S18_2432,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10107,19,145.52,3," 2,764.88 ",06/03/2024,31,On Hold,Classic Cars,136.00,9.52,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10412,19,48.70,7, 925.30 ,03/03/2024,34,Shipped,Trucks and Buses,54.00,-5.30,S32_2509,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10400,20,56.12,4," 1,122.40 ",01/02/2024,65,Shipped,Planes,49.00,7.12,S72_1253,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
10382,20,132.72,3," 2,654.40 ",17/12/2023,111,Shipped,Trucks and Buses,127.00,5.72,S24_2300,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10375,20,102.30,14," 2,046.00 ",03/12/2023,125,Shipped,Motorcycles,69.00,33.30,S24_2360,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10371,20,172.47,5," 3,449.40 ",23/11/2023,135,Shipped,Trucks and Buses,127.00,45.47,S24_2300,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10371,20,66.47,2," 1,329.40 ",23/11/2023,135,Shipped,Trucks and Buses,54.00,12.47,S32_2509,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10370,20,136.50,2," 2,730.00 ",20/11/2023,138,Shipped,Vintage Cars,50.00,86.50,S18_4668,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10368,20,99.58,4," 1,991.60 ",19/11/2023,139,Shipped,Classic Cars,107.00,-7.42,S24_3432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10107,20,72.55,13," 1,451.00 ",17/10/2023,172,Shipped,Motorcycles,95.00,-22.45,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10361,20,60.54,4," 1,210.80 ",17/10/2023,172,Shipped,Planes,91.00,-30.46,S700_1691,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10358,20,121.40,10," 2,428.00 ",10/10/2023,179,Shipped,Classic Cars,163.00,-41.60,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10358,20,36.42,11, 728.40 ,10/10/2023,179,Shipped,Trucks and Buses,122.00,-85.58,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10351,20,168.73,2," 3,374.60 ",03/10/2023,186,Shipped,Vintage Cars,105.00,63.73,S18_3856,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium
10350,20,112.22,15," 2,244.40 ",02/10/2023,187,Shipped,Ships,54.00,58.22,S72_3212,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10344,20,35.18,6, 703.60 ,25/09/2023,194,Shipped,Vintage Cars,33.00,2.18,S24_1937,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Small
10334,20,143.94,3," 2,878.80 ",19/09/2023,200,On Hold,Classic Cars,169.00,-25.06,S18_3232,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small
10332,20,87.96,5," 1,759.20 ",17/09/2023,202,Shipped,Classic Cars,50.00,37.96,S24_1628,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10331,20,182.89,5," 3,657.80 ",17/09/2023,202,Shipped,Motorcycles,81.00,101.89,S50_4713,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Medium
10107,20,158.80,2," 3,176.00 ",15/09/2023,204,Shipped,Motorcycles,118.00,40.80,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10328,20,72.98,2," 1,459.60 ",12/09/2023,207,Shipped,Vintage Cars,65.00,7.98,S24_3420,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,Rovelli,Giovanni,Small
10327,20,173.46,7," 3,469.20 ",10/09/2023,209,Resolved,Ships,86.00,87.46,S700_1938,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium
10326,20,92.25,2," 1,845.00 ",09/09/2023,210,Shipped,Vintage Cars,83.00,9.25,S24_3816,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small
10324,20,98.18,11," 1,963.60 ",05/09/2023,214,Shipped,Trucks and Buses,96.00,2.18,S32_1268,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
