CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,REVIEWS,PRODUCTLINE
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small,I will recommend you to everyone,Vintage Cars
Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small,One of the best car buying experiences.  Autopro did an incredible job & streamlined the entire process.  Cannot recommend Autopro enough!,Classic Cars
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,We bought a Truck from  Autopro Sales without seeing the car in person. The whole team was very knowledgeable and honest about the car and everything was exactly as they stated.,Trucks and Buses
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,Arrived safe and sound in Nantes in just a few days!,Motorcycles
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,They willingly helped arrange a professional shipper to transport the bus,Trucks and Buses
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,Very helpful from start to finish.,Vintage Cars
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,My Dad is so thrilled and Mom is depositing the check as we speak .  Thank you for everything.,Classic Cars
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,We have recommended you and will continue to do so when there is an opportunity.,Classic Cars
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Small,Best deal on the Market!,Vintage Cars
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small,I’d like to express my sincere gratitude to you both for handling the marketing and sale of the Mach 1 with the utmost professionalism and care,Classic Cars
Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,Rovelli,Giovanni,Small,I must be lucky!,Vintage Cars
"Volvo Model Replicas, Co",0921-12 3555,BerguvsvÂ„gen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small, I love the design and handling of this vehicle,Vintage Cars
Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small,Great people and a pleasure to deal with,Vintage Cars
"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Small,Paul was helpful with the entire transition from providing in detail all the necessary information and arranging delivery of the Mini to me here in So.,Classic Cars
Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,Looks and sounds great.!,Motorcycles
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small,Hey Guys….the SS was delivered yesterday and she is sitting in her new home in Singapore.,Classic Cars
"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Small,The car is awesome and identical to the one I had 52 years ago.,Classic Cars
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small,Autopro sales has been our go to place for buying unique motorcycles.,Motorcycles
Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small,I just took the 65 “SS” out for a short drive…unbelievable…tight…no rattles…drives great…shifts perfect and gauges work,Classic Cars
Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Small,"This van is fully loaded-plus, we added on a combo navigation/rear camera system, expensive, but worth it! Car has plenty of power, and transmission is smooth stock tires are adequate",Vintage Cars
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA,Barajas,Miguel,Small,I have had other classic cars but none this nicely done…it’s a keeper!,Classic Cars
L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small,It is just as expected and given the condition something you don’t come across too often,Classic Cars
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small,To say I’m happy with this purchase would be a gross over estimation and dishonesty,Classic Cars
Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Small,"Again, thank you both, it was a pleasure to work with you!",Classic Cars
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,Buy with confidence,Vintage Cars
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Small,"Paul, we couldn’t be happy with the classic!",Classic Cars
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Small,We get oos and awes from everyone who sees it.,Classic Cars
"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Small,Thank you again and we look forward to coming to visit you next time,Trains
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Medium,"I’ve been doing some  minor TLC stuff, but I enjoy the tinkering. Gets me out of the office. Thanks again",Classic Cars
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small,If it were possible to rate these guys higher I most certainly would,Vintage Cars
Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Small,A great truck and great buy!,Classic Cars
"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small,One of the best autos I have ever owned,Vintage Cars
Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Small,I couldn’t have asked for a more pleasant transaction,Classic Cars
Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Small,It was my first time doing a wire transfer to buy a car. I paid to have the car transported directly to my home,Classic Cars
Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small,Paul was very patient and understanding of where I was coming from. He walked me through every step.,Classic Cars
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium,"I put all of my trust, and Autopro didn’t let me down",Classic Cars
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Cartrain,Pascale,Small, It's a small car.  There is VERY little room in the back seat for adults.  It is very 'peppy' with great acceleration.  It's also very attractive.,Vintage Cars
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Small,My 1995 Mazda RX-7 arrived two days after purchase,Classic Cars
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,I posted my 5 star review a few weeks ago,Vintage Cars
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small,It wasn’t what I expected but will manage,Motorcycles
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Small,Thanks to everyone involved to make this sale to a 2 time Academy Award & Oscar winning Actor,Classic Cars
Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Small,Great handling car. Easy to see out of when driving.,Vintage Cars
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Small,"At first, I was anxious spending such a great deal of money on a vehicle 7 hours away from where I live",Classic Cars
"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,"This car in my opinion is a driver's car. The 3.6 liter V6 is very responsive, it makes nice noises.",Vintage Cars
Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Small,"Being an out-of-state buyer, the Autopro Sales team took the extra time to help me feel comfortable with the transaction",Trains
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Medium,I enjoy the Porsche,Classic Cars
FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,it was a pleasure meeting you!,Classic Cars
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Small,We can’t be more satisfied with their service and would highly recommend them to anyone.,Motorcycles
Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small," Car does not get anywhere near advertised mileage, it varies depending on which gas station you use. but my V8 Mustang GT gets better mileage on the highway. The taillights fill with moisture all the time, had them replaced 8 times still do it. The trunk comes open when it wants, the bluetooth does not sync have the time. Worst of all is resell paid 36k after 10k miles it is worth $16,500 should have never switched from Toyota",Trucks and Buses
Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small,I wanted to thank Paul and the Autopro Ltd team for the excellent service,Classic Cars
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,"If you are in the market to buy or sell a classic car, you can do no better than Autopro",Classic Cars
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,"Top notch service all the way, they shipped my car overseas for me, and they took care of everything.",Vintage Cars
Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France,Citeaux,Frederique,Small,The driver delivered this AM +- 8:45 (I think that was his name) Nice guy,Classic Cars
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA,Taylor,Sue,Small,"The car looks great as you said, even better than in the photos!",Classic Cars
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,MartÂ¡n,Small,thank you guys for making my dream come true,Vintage Cars
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Small,From the initial enquiry to the point of delivery everything was first class,Vintage Cars
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small,Best Deal and pleasent suprize,Trucks and Buses
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Medium,Becky and I ooed and awed over it for about an hour then we all had to go back to work.,Classic Cars
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Small,20 plus years in the car trade myself and can’t fault the service from the Retro guys,Vintage Cars
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,Would absolutely buy from them again,Vintage Cars
Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Small,"Just purchased the car of my dreams, Brooklands 280 Capri, as the advert said at its launch “the car you’d always promised yourself""",Vintage Cars
Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium,Stevie and I couldn’t be more pleased so thank you very much for your service and assistance,Classic Cars
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,Money well spent!!!,Classic Cars
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,MartÂ¡n,Small,Less than expected,Trucks and Buses
Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Small,I bought a Jaguar E-type from these guys were great to deal with highly recommended,Vintage Cars
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Small,I would not hesitate to do business with them in the future.,Trains
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium,Big Car Great Value,Trucks and Buses
Microscale Inc.,2125551957,5290 North Pendale Street,NYC,10022,USA,Kuo,Kee,Small,"Just took delivery of the Motorcycle. All went well, I’m happy with the purchase. Thank you",Motorcycles
"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small,I will recommend you to everyone,Vintage Cars
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small,"This car is one of the nicest cars I have ever owned.  Spacious, hugs the road.....until....I was driving down the street and started to hear a loud clicking noise.  Towed it to the dealer and was told that the car needed a new engine!",Trucks and Buses
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Medium,Buy with confidence,Vintage Cars
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,I want to thank you very much,Trains
"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,I just wanted you to know what a pleasurable experience I had in purchasing my Motorcycle from Autopro,Motorcycles
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium,The car was as advertised and I’m very happy with choosing Autopro Sales,Vintage Cars
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Small, Great vehicle!  Make a deal and drive away!,Trucks and Buses
Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small,"We’re 100% satisfied with the honesty, integrity and friendly customer service they provided to us throughout our buying experience.",Planes
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Small,"Top notch service all the way, they shipped my car overseas for me, and they took care of everything.",Vintage Cars
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Small,"Their total love and dedication to finding cars of quality, and their knowledge is second to none",Vintage Cars
Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Small,If you are looking for a classic this is the place to be,Vintage Cars
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,28023,Spain,Fernandez,Jesus,Medium,They made us feel very welcome and absolutely no pressure buying here,Vintage Cars
"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small,Thank you again and we look forward to coming to visit you next time,Planes
"Volvo Model Replicas, Co",0921-12 3555,BerguvsvÂ„gen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small,I have used on several occasions and would highly recommend,Vintage Cars
Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France,Citeaux,Frederique,Medium,Great place and the kettle is always on,Vintage Cars
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small,My phone conversation with you was fantastic. You were able to answer all of my questions and reassure me dealing with a company 3000 miles away was not an issue.,Planes
Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Small,I can’t rate them high enough,Vintage Cars
Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Small, The dashboard seemed to contain too many things and appeared to be too close to the driver,Trucks and Buses
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Small, Some problems started early on and some continue.  ,Trucks and Buses
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,I will certainly be back,Trains
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium, This is a great car. I traded in my 2014 for a 2015. This new one had a few more features that I really liked and had to have.,Trucks and Buses
Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Small,"Everyone’s attention to detail is over and above all others, to include following up on customer satisfaction well after the purchase.",Planes
Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Small,I wouldn’t hesitate when I buy my next classic car to go straight to them,Vintage Cars
L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small,"They are so friendly, and their enthusiasm towards the cars they are selling is infectious!",Vintage Cars
Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small," Cannot find one issue and I'm a German car fanatic. This vehicle is perfect in every way from brakes, power, quietness, to build quality.",Trucks and Buses
FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,It has been a pleasure dealing with them,Vintage Cars
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Medium,Excellent Value,Trucks and Buses
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,"Good Price, LT reliability TBD",Trucks and Buses
Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,97561,USA,Lewis,Dan,Medium,The transaction was thorough and pain-free.,Planes
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,They willingly helped arrange a professional shipper to transport the plane  to Japan without issue,Planes
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Small,More than expected,Trucks and Buses
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,MartÂ¡n,Medium,have been so professional throughout the whole process.,Vintage Cars
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Cartrain,Pascale,Small,We are pleased with the price we received for the train,Trains
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Medium,"Great Van, Great value",Trucks and Buses
Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Small,Best Van We've Ever Had!,Trucks and Buses
Enaco Distributors,(93) 203 4555,"Rambla de CataluÂ¤a, 23",Barcelona,8022,Spain,Saavedra,Eduardo,Medium,The whole team was very knowledgeable and honest about the Plane and everything was exactly as they stated.,Planes
Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium,Just bought a Pontiac Trans Am GTA 1988. I love the car,Vintage Cars
Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium,I Like This Van!,Trucks and Buses
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,28023,Spain,Fernandez,Jesus,Medium,You have a very professional operation and it was a pleasure doing business with you.,Trains
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium,Great van!,Trucks and Buses
West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Small,if you’re looking for something interesting mainly American cars these are the guys to contact,Vintage Cars
